,Company,TypeName,Inches,Ram,Memory,OpSys,Price_euros
611,HP,2,1,3,4,1,499.0
612,HP,1,2,3,1,1,1060.0
613,HP,1,1,3,1,1,349.0
614,HP,1,4,1,4,1,1080.0
615,HP,1,4,1,4,1,1200.0
616,HP,1,2,3,1,1,1189.0
617,HP,4,5,1,4,1,836.6
618,HP,1,2,3,4,1,973.0
619,HP,2,6,3,4,1,1559.0
620,HP,1,1,3,4,1,839.0
621,HP,4,5,1,4,1,2559.0
622,HP,1,1,1,4,1,719.0
623,HP,1,1,1,4,1,1144.0
624,HP,1,2,1,4,1,1185.43
625,HP,2,1,1,4,1,659.0
626,HP,1,5,1,4,1,1149.0
627,HP,1,2,1,4,4,1195.0
628,HP,1,5,3,1,1,754.0
629,HP,1,1,3,3,1,489.0
630,HP,1,1,3,1,1,347.0
631,HP,1,1,6,5,1,650.0
632,HP,3,1,1,5,1,1099.0
633,HP,1,2,1,4,1,2229.0
634,HP,1,1,3,4,1,769.99
635,HP,1,1,1,5,1,1099.0
636,HP,1,5,3,1,1,800.0
637,HP,1,1,1,4,1,1349.0
638,HP,6,1,2,4,1,2419.0
639,HP,2,2,1,4,1,1887.21
640,HP,1,2,3,4,1,1590.0
641,HP,2,6,3,1,1,1539.0
642,HP,4,5,3,4,1,1700.0
643,HP,1,1,1,4,1,1427.0
644,HP,3,4,5,7,1,1999.0
645,HP,1,4,1,3,1,896.0
646,HP,1,1,3,3,1,469.0
647,HP,6,1,1,4,1,2064.9
648,HP,1,1,1,4,1,690.0
649,HP,5,6,1,12,1,1483.0
650,HP,1,1,1,2,1,389.0
651,HP,1,4,3,1,1,439.0
652,HP,2,5,1,4,1,1119.0
653,HP,3,4,1,5,1,1399.0
654,HP,5,6,1,4,1,1389.0
655,HP,1,1,3,1,1,330.0
656,HP,1,5,2,12,1,1197.0
657,HP,3,1,5,5,1,1249.0
658,HP,1,1,1,2,1,629.0
659,HP,2,2,1,4,1,1750.0
660,HP,5,6,1,4,1,1669.0
661,HP,3,4,5,3,1,1749.0
662,HP,1,1,3,3,2,288.9
663,HP,2,6,3,1,1,1579.0
664,HP,2,6,1,20,1,3100.0
665,HP,1,2,3,1,1,1149.0
666,HP,1,1,1,4,1,1165.0
667,HP,1,1,1,4,1,1018.99
668,HP,5,7,3,15,5,385.0
669,HP,2,5,1,4,1,1149.0
670,HP,1,5,1,4,1,960.0
671,HP,1,1,3,4,1,488.99
672,HP,6,1,1,38,1,2249.0
673,HP,1,1,1,3,1,639.0
674,HP,1,1,3,1,1,439.0
